element,atomic radius r (nm),radius,electronegativity,e/a,VEC,Tm,primitive_cell_pure_lattice_constant (A)
Li,0.15194,3.023,0.912,1,1,453.69,3.05462
Be,0.1128,2.22,1.576,2,2,1560,2.26
Na,0.1857,3.659,0.869,1,1,370.87,3.715
Mg,0.16013,3.2,1.293,2,2,923,3.186
Al,0.14317,2.86,1.613,3,3,933.47,2.856
K,0.231,4.525,0.734,1,1,336.53,4.706
Ca,0.1976,3.95,1.034,2,2,1115,3.894
Sc,0.1641,3.25,1.19,2,3,1814,3.267
Ti,0.14615,2.89,1.38,2,4,1941,2.906
V,0.1316,2.62,1.53,2,5,2183,2.701
Cr,0.12491,2.5,1.65,1,6,2180,2.563
Mn,0.135,2.24,1.75,2,7,1519,2.482
Fe,0.12412,2.48,1.8,2,8,1811,2.578
Co,0.1251,2.5,1.84,2,9,1768,2.49
Ni,0.12459,2.49,1.88,2,10,1728,2.479
Cu,0.1278,2.56,1.85,1,11,1357.77,2.561
Zn,0.13945,2.66,1.588,2,2,692.68,2.627
Ga,0.1392,2.44,1.756,3,3,302.91,4.48902
Ge,0.124,2.45,1.994,4,14,1211.4,3.029
Rb,0.244,4.837,0.706,1,1,312.46,5.047
Sr,0.2152,4.3,0.963,2,2,1050,4.259
Y,0.18015,3.55,1.12,2,3,1799,3.58
Zr,0.16025,3.17,1.32,2,4,2128,3.208
Nb,0.1429,2.86,1.41,1,5,2750,2.992
Mo,0.13626,2.72,1.47,1,6,2896,2.837
Tc,0.136,2.71,1.9,2,7,2430,2.747
Ru,0.13384,2.65,1.54,1,8,2607,2.705
Rh,0.1345,2.69,1.56,1,9,2237,2.718
Pd,0.13754,2.75,1.58,10,10,1828.05,2.798
Ag,0.14447,2.89,1.87,1,11,1234.93,2.942
Cd,0.15683,2.98,1.521,2,12,594.22,3.20388
In,0.1659,3.25,1.656,3,13,429.75,3.39132
Sn,0.162,2.81,1.824,4,14,505.08,3.404
Sb,0.145,2.91,1.984,5,15,903.78,3.10269
Cs,0.265,5.235,0.659,1,1,301.59,5.458
Ba,0.2176,4.35,0.881,2,2,1000,4.491
La,0.1879,3.73,1.1,2,3,1193,3.74133
Hf,0.15775,3.13,1.16,2,4,2506,3.169
Ta,0.143,2.86,1.34,2,5,3290,2.989
W,0.1367,2.74,1.47,2,6,3695,2.859
Re,0.1375,2.74,1.6,2,7,3459,2.775
Os,0.13523,2.68,1.65,2,8,3306,2.732
Ir,0.13573,2.71,1.68,2,9,2739,2.741
Pt,0.1387,2.77,1.72,1,10,2041.4,2.812
Au,0.1442,2.88,1.92,1,11,1337.33,2.95
Tl,0.1716,3.46,1.789,3,13,577,3.53073
Pb,0.17497,3.5,1.854,4,14,600.61,3.571
Bi,0.143,3.07,2.01,5,15,544.4,4.79765
